BACCA,ST,84,85 ,81 ,64 ,81 ,24 ,74 
ADRIANO,ST,79,78 ,79 ,64 ,78 ,30 ,66 
NIANG,ST,78,89 ,74 ,67 ,82 ,26 ,67 
LAPADULA,ST,74,84 ,72 ,55 ,73 ,23 ,59 
BONAVENTURA,CM,84,84 ,81 ,83 ,85 ,63 ,77 
BONAVENTURA,LM,82,82 ,77 ,81 ,82 ,60 ,73 
HONDA,RM,81,76 ,73 ,81 ,82 ,48 ,67 
SOSA,CAM,80,77 ,74 ,82 ,80 ,59 ,71 
FERNÁNDEZ,CAM,79,74 ,71 ,79 ,84 ,52 ,60 
KUCKA,CM,78,69 ,73 ,74 ,76 ,73 ,87 
MONTOLIVO,CDM,78,60 ,68 ,82 ,78 ,67 ,68 
BERTOLACCI,CM,77,76 ,70 ,76 ,79 ,66 ,73 
SUSO,RM,77,79 ,71 ,74 ,84 ,24 ,48 
POLI,CM,76,77 ,66 ,75 ,77 ,60 ,71 
PALETTA,CB,82,60 ,40 ,47 ,55 ,85 ,83 
ROMAGNOLI,CB,78,67 ,34 ,48 ,61 ,80 ,77 
PALETTA,CB,78,55 ,33 ,42 ,50 ,81 ,79 
ANTONELLI,LB,78,79 ,58 ,69 ,72 ,77 ,77 
ABATE,RB,78,88 ,51 ,69 ,76 ,73 ,77 
ZAPATA,CB,78,67 ,32 ,46 ,54 ,81 ,80 
VANGIONI,LB,77,88 ,64 ,70 ,73 ,71 ,73 
DE SCIGLIO,LB,76,81 ,45 ,67 ,72 ,74 ,73 
GÓMEZ,CB,76,62 ,35 ,44 ,54 ,76 ,79 
ELY,CB,71,65 ,27 ,34 ,51 ,74 ,73 
CALABRIA,RB,70,78 ,39 ,58 ,67 ,68 ,71 
DONNARUMMA,GK,84,86 ,82 ,78 ,89 ,53 ,80 
DONNARUMMA,GK,82,83 ,79 ,74 ,87 ,48 ,76 
DONNARUMMA,GK,76,78 ,72 ,72 ,84 ,46 ,70 
GABRIEL,GK,74,77 ,74 ,61 ,79 ,38 ,69 
