PAVOLETTI,ST,77,68 ,76 ,49 ,69 ,27 ,76 
PINILLA,ST,76,68 ,75 ,57 ,70 ,27 ,76 
SIMEONE,ST,74,79 ,72 ,48 ,73 ,28 ,68 
LAZOVIĆ,RW,74,88 ,64 ,68 ,76 ,31 ,48 
SIMEONE,ST,74,81 ,80 ,53 ,78 ,31 ,72 
PANDEV,ST,74,60 ,73 ,71 ,80 ,38 ,59 
PALLADINO,LW,73,76 ,63 ,65 ,80 ,19 ,53 
SIMEONE,ST,69,79 ,70 ,48 ,69 ,27 ,68 
MARTÍNEZ,ST,64,56 ,63 ,42 ,64 ,29 ,58 
VELOSO,CDM,79,64 ,70 ,83 ,75 ,73 ,72 
LAXALT,LM,76,84 ,62 ,72 ,77 ,48 ,69 
RINCÓN,CM,76,72 ,64 ,73 ,73 ,74 ,78 
OCAMPOS,RM,75,78 ,70 ,73 ,75 ,51 ,65 
RIGONI,CM,75,69 ,67 ,72 ,70 ,71 ,74 
EDENÍLSON,RM,75,84 ,63 ,70 ,77 ,64 ,70 
CATALDI,CM,75,71 ,69 ,74 ,74 ,68 ,69 
LAXALT,LM,74,80 ,62 ,71 ,77 ,48 ,68 
GAKPÉ,RM,74,90 ,70 ,66 ,77 ,28 ,61 
RIGONI,CM,74,62 ,67 ,70 ,69 ,71 ,74 
HILJEMARK,CM,73,73 ,60 ,68 ,71 ,64 ,76 
COFIE,CM,72,68 ,58 ,69 ,70 ,72 ,73 
MOROSINI,CAM,68,78 ,52 ,65 ,70 ,26 ,60 
NTCHAM,CM,65,68 ,52 ,56 ,69 ,56 ,73 
GENTILETTI,CB,78,69 ,36 ,58 ,62 ,79 ,73 
BURDISSO,CB,77,61 ,29 ,45 ,47 ,79 ,72 
IZZO,CB,75,69 ,31 ,45 ,59 ,78 ,70 
MUÑOZ,CB,73,55 ,29 ,43 ,46 ,74 ,76 
BRIVIO,LB,73,68 ,56 ,60 ,58 ,76 ,78 
CISSOKHO,RB,73,79 ,55 ,66 ,71 ,68 ,73 
BIRASCHI,CB,68,64 ,34 ,50 ,56 ,68 ,64 
FIAMOZZI,RB,66,83 ,43 ,53 ,60 ,60 ,75 
IERARDI,RB,56,54 ,34 ,39 ,52 ,57 ,57 
PERIN,GK,83,80 ,85 ,71 ,90 ,57 ,78 
LAMANNA,GK,72,70 ,72 ,66 ,74 ,29 ,71 
ZIMA,GK,64,68 ,59 ,63 ,64 ,44 ,61 
