ÁLVAREZ,CDM,77,69 ,64 ,68 ,69 ,72 ,73 
RODRÍGUEZ,CAM,77,77 ,70 ,72 ,80 ,39 ,61 
ČOP,ST,75,65 ,76 ,65 ,70 ,27 ,65 
TORRES,CDM,74,48 ,58 ,72 ,64 ,69 ,74 
CASES,CDM,74,59 ,63 ,72 ,69 ,65 ,72 
CASTRO,ST,73,70 ,73 ,58 ,70 ,34 ,56 
AÏT-ATMANE,CDM,71,41 ,52 ,67 ,57 ,65 ,70 
VIGUERA,ST,71,69 ,71 ,57 ,72 ,25 ,62 
NDI,CAM,71,75 ,65 ,65 ,72 ,61 ,72 
AFIF,LW,69,75 ,59 ,61 ,76 ,30 ,45 
BURGUI,LM,74,79 ,67 ,72 ,75 ,27 ,52 
GÓMEZ,RM,74,71 ,68 ,75 ,76 ,44 ,61 
CARMONA,RM,73,65 ,65 ,76 ,72 ,45 ,64 
LORA,RB,77,82 ,63 ,71 ,74 ,71 ,72 
MERÉ,CB,76,70 ,30 ,50 ,53 ,77 ,68 
AMOREBIETA,CB,75,31 ,47 ,54 ,48 ,74 ,82 
BABIN,CB,75,36 ,46 ,57 ,40 ,76 ,83 
LÓPEZ,LB,74,81 ,68 ,68 ,73 ,70 ,69 
LILLO,RB,73,68 ,49 ,60 ,58 ,73 ,76 
DOUGLAS,RB,73,85 ,66 ,64 ,72 ,67 ,63 
CANELLA,LB,71,73 ,51 ,65 ,67 ,67 ,69 
CUÉLLAR,GK,78,75 ,79 ,77 ,81 ,59 ,74 
MARIÑO,GK,74,75 ,71 ,69 ,77 ,45 ,72 
WHALLEY,GK,64,66 ,63 ,74 ,63 ,42 ,60 
